id_respondent,ses_region_administrative,ses_age_category,behav_vote_turnout_municipal_2021,behav_vote_method,op_covid_measures_easy_to_understand,op_covid_measures_reassuring,op_voting_ease,op_reason_not_vote_no_interest,op_reason_not_vote_lack_info,op_reason_not_vote_disliked_candidates,op_reason_not_vote_not_concerned,op_reason_not_vote_no_impact,op_reason_not_vote_lost_trust,op_reason_not_vote_too_busy,op_reason_not_vote_away,op_reason_not_vote_covid_concern,ses_gender,ses_language_home,ses_born_canada,ses_education,ses_occupation,ses_income_household,ses_household_type,weight_standard,weight_turnout_adjusted,op_reason_not_vote_other,behav_contacted_by_campaign,ses_homeowner,behav_considered_running,op_knowledge_candidates_names,op_knowledge_candidates_platforms,op_closeness_to_party,op_satisfaction_democracy_municipal,op_council_too_complicated,op_council_not_concerned_citizens,op_trust_council,op_citizens_can_influence,op_elected_reflect_diversity,op_council_decisions_impact,op_interest_municipal_politics,behav_vote_frequency_history,op_voting_duty_vs_choice,op_vote_makes_difference,op_voting_makes_proud,op_voting_important_to_others,op_frequency_discuss_politics,behav_volunteering_past_year,behav_civic_participation,op_sense_of_belonging,ses_years_in_municipality,op_barrier_running_salary,op_barrier_running_workload,op_barrier_running_recognition,op_barrier_running_incumbency,op_barrier_running_harassment
2924,capitale_nationale,55_64,not_eligible,in_person,1.0,0.67,1.0,,,,,,,,,,female,french,1.0,bachelor,retired,40k_to_60k,single_no_children,2.88539457321167,1.6561861038208008,,0.0,1.0,0.0,1.0,0.5,0.33,1.0,0.33,0.33,0.67,0.33,0.67,0.33,0.67,0.33,choice,0.67,0.67,0.67,0.33,occasionally,0.0,0.67,over_20_years,1.0,1.0,1.0,0.67,1.0
3120,monteregie,55_64,voted,,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,female,french,1.0,graduate,unemployed,,,0.5224395394325256,0.8830307126045227,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33,0.67,0.67,0.33,0.33,0.33,0.33,0.67,0.33,duty,0.33,0.33,0.33,0.33,,0.0,0.67,under_5_years,0.33,0.67,0.33,0.67,0.67
3169,chaudiere_appalaches,65_plus,voted,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,male,french,1.0,,retired,,couple_no_children,0.3640757203102112,0.5264613032341003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.67,0.67,0.67,0.33,0.67,0.67,0.33,0.67,0.0,choice,1.0,1.0,1.0,0.0,never,0.0,0.33,under_5_years,0.33,0.67,0.67,0.33,0.67
3262,abitibi_temiscamingue,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,bachelor,retired,40k_to_60k,single_no_children,1.2281575202941897,0.9017654061317444,,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.67,0.67,0.0,choice,1.0,1.0,1.0,0.33,regularly,0.0,1.0,over_20_years,0.0,0.67,0.67,0.0,0.0
3312,capitale_nationale,45_54,not_eligible,in_person,1.0,1.0,0.67,,,,,,,,,,male,french,1.0,graduate,employed,over_150k,couple_with_children,2.23965835571289,1.2535582780838013,,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.33,0.33,0.67,0.67,0.67,0.33,1.0,0.0,choice,0.67,1.0,1.0,0.33,occasionally,0.0,1.0,over_20_years,0.33,0.67,0.67,0.33,1.0
3396,monteregie,45_54,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,1.0,graduate,employed,120k_to_150k,single_parent,0.8376485109329224,0.539604127407074,,0.0,1.0,0.0,1.0,1.0,0.33,1.0,0.67,0.67,0.67,0.67,0.67,0.33,0.67,0.0,choice,1.0,1.0,1.0,0.67,occasionally,1.0,0.67,over_20_years,0.33,1.0,0.67,0.33,1.0
3404,laurentides,35_44,not_eligible,in_person,0.67,0.67,1.0,,,,,,,,,,female,french,1.0,college_cegep,employed,,couple_with_children,0.3263285458087921,0.2014979273080825,,1.0,1.0,0.0,1.0,0.5,0.33,0.67,0.33,0.33,0.67,0.67,0.67,0.33,0.67,0.0,choice,0.67,0.67,0.33,0.33,regularly,1.0,1.0,over_20_years,0.33,0.33,0.33,0.33,0.33
3455,capitale_nationale,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,high_school,retired,60k_to_80k,single_no_children,3.2837791442871094,2.094901323318481,,0.0,0.0,0.0,1.0,1.0,0.67,0.67,0.33,0.67,0.67,0.33,0.67,0.67,0.33,0.0,choice,0.67,0.67,0.67,0.33,never,0.0,0.67,over_20_years,0.33,1.0,1.0,1.0,0.67
3569,monteregie,65_plus,not_eligible,in_person,1.0,1.0,0.67,,,,,,,,,,female,french,1.0,high_school,retired,,couple_no_children,0.5945723652839661,0.4939829409122467,,0.0,1.0,0.0,1.0,0.5,,0.67,0.33,0.33,0.67,0.67,0.67,0.33,0.67,0.0,duty,0.67,0.67,0.67,0.67,never,0.0,0.67,over_20_years,0.33,0.67,0.33,0.67,0.67
3656,monteregie,45_54,voted,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,female,french,1.0,graduate,employed,over_150k,single_parent,0.4722529351711273,0.6151058077812195,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,0.33,0.33,0.67,0.67,0.33,0.33,0.0,0.67,duty,0.33,0.33,0.67,1.0,never,0.0,0.0,11_to_20_years,1.0,0.33,1.0,0.33,0.67
3700,capitale_nationale,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,male,french,0.0,college_cegep,retired,40k_to_60k,couple_no_children,2.3592464923858643,1.502030611038208,,0.0,1.0,0.0,0.0,1.0,0.33,0.67,0.33,0.33,0.67,1.0,0.67,0.33,1.0,0.0,choice,0.67,1.0,1.0,0.33,never,0.0,0.67,over_20_years,0.33,0.67,0.33,0.67,0.33
3736,montreal,65_plus,did_not_vote,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,male,french,1.0,high_school,retired,20k_to_40k,single_no_children,2.3592464923858643,6.301305294036865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.33,0.33,0.67,0.67,0.67,0.0,0.33,duty,0.33,0.33,0.33,1.0,never,0.0,0.33,over_20_years,0.67,0.67,0.67,0.67,0.67
3931,laval,55_64,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,college_cegep,employed,40k_to_60k,single_no_children,2.88539457321167,1.6561861038208008,,1.0,1.0,0.0,0.5,1.0,0.67,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.0,choice,1.0,1.0,0.67,0.67,never,0.0,0.33,over_20_years,0.67,0.67,0.67,0.33,1.0
4196,montreal,65_plus,not_eligible,in_person,0.67,0.67,0.67,,,,,,,,,,female,french,1.0,bachelor,retired,80k_to_100k,single_no_children,3.2837791442871094,2.094901323318481,,1.0,1.0,0.0,1.0,0.0,0.33,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.67,0.0,choice,0.67,0.67,0.67,0.33,never,0.0,0.67,over_20_years,0.33,0.33,0.33,0.33,0.67
4282,outaouais,55_64,not_eligible,in_person,1.0,0.67,1.0,,,,,,,,,,male,english,1.0,bachelor,employed,100k_to_120k,couple_no_children,0.4268319010734558,0.3082956075668335,,0.0,1.0,0.0,1.0,0.5,,0.67,0.67,1.0,0.0,0.67,0.33,0.33,0.67,0.0,choice,0.67,1.0,1.0,0.33,occasionally,0.0,0.67,over_20_years,0.33,0.0,0.67,0.0,1.0
4394,montreal,65_plus,not_eligible,in_person,1.0,1.0,1.0,,,,,,,,,,female,french,1.0,graduate,retired,40k_to_60k,single_no_children,3.2837791442871094,2.094901323318481,,1.0,0.0,1.0,1.0,1.0,1.0,0.67,0.33,0.33,0.67,0.67,1.0,0.67,0.67,0.0,choice,1.0,1.0,1.0,0.67,regularly,0.0,0.67,over_20_years,0.33,0.33,0.33,0.33,0.33
